Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
estuary_05_10_19_1200,2,5/10/2019 12:00,130,121.9609274,118.0309663,83.90223735,31.10169321,28.19815417,26.27101782,323.894131,85.19951486,0.367392081,0.013876814,30.19876783,5.784665047,0.37800995,0.01330434,0.254597969,0.021332528,phragmites
estuary_05_13_19_1200,1,5/13/2019 12:00,133,56.89780138,59.30790013,40.51928452,13.91465143,12.45265473,10.47161229,156.724986,36.30366682,0.380806392,0.01970835,21.19871437,7.0132984,0.36190202,0.012568379,0.257291588,0.015884649,mixed
estuary_05_13_19_1200,2,5/13/2019 12:00,133,60.2919157,63.47294747,43.61788298,20.18438094,19.34184824,16.45846377,167.3827461,55.6525442,0.383833458,0.020062407,23.03609626,5.694893103,0.360318772,0.011047484,0.25584777,0.023564674,phragmties
estuary_05_14_19_1200,1,5/14/2019 12:00,134,28.08427673,30.31236897,25.04444444,5.745952047,5.823547905,4.878528188,83.44109015,16.10548769,0.363748532,0.01662418,7.496016771,4.049930201,0.335867325,0.0087447,0.300384143,0.015714682,mixed
estuary_05_14_19_1200,2,5/14/2019 12:00,134,26.57352941,28.35997442,23.42369991,7.311674979,7.037024889,6.145185875,78.35720375,20.39702562,0.363098406,0.010448234,6.722719523,2.024590781,0.337813856,0.010295245,0.299087738,0.010823723,phragmites
estuary_05_15_19_1200,1,5/15/2019 12:00,135,100.3403778,100.5388984,66.78549729,23.4604134,21.2317504,20.01017458,267.6647735,63.84046455,0.378751939,0.021174863,33.95192181,11.24423527,0.375548931,0.010881955,0.24569913,0.023766956,mixed
estuary_05_15_19_1200,2,5/15/2019 12:00,135,105.675315,108.0194218,74.43395107,34.61664513,32.17321903,28.27895703,288.1286879,94.66243508,0.379280548,0.019321211,35.92957746,9.036858994,0.367546469,0.012817999,0.253172982,0.02161511,phragmites
estuary_05_16_19_1200,1,5/16/2019 12:00,136,58.24659569,61.06288685,41.02178757,21.46107198,20.66908324,14.4156449,160.3312701,55.86319072,0.382673168,0.018956514,22.85739044,9.973489586,0.359465011,0.019094361,0.257861822,0.02585127,mixed
estuary_05_16_19_1200,2,5/16/2019 12:00,136,99.42157204,95.98676419,62.02473006,31.16951367,28.23093854,25.40805791,257.4330663,84.27134658,0.378556595,0.022928648,30.52722629,6.833607844,0.389221987,0.020116527,0.232221418,0.034912339,phragmites
estuary_05_20_19_1200,1,5/20/2019 12:00,140,93.53892113,96.58569478,61.24974394,27.19043443,25.57289454,20.81258445,251.3743598,72.52117496,0.387459872,0.023854861,38.38272448,14.02002234,0.371854452,0.010623731,0.240685676,0.024839095,mixed
estuary_05_20_19_1200,2,5/20/2019 12:00,140,115.2819738,119.3904666,82.88754616,38.27337801,36.48591562,33.74274973,317.5599866,108.0982202,0.382569666,0.026181637,40.61141323,8.921561339,0.365029966,0.016189469,0.252400368,0.03284297,phragmites
estuary_05_22_19_1200,1,5/22/2019 12:00,142,69.8879845,72.35581395,47.8244186,14.22350571,14.05803297,10.24798113,190.0682171,37.54710622,0.381368325,0.017331702,26.99922481,10.06342813,0.367348674,0.007926616,0.251283001,0.018450669,mixed
estuary_05_22_19_1200,2,5/22/2019 12:00,142,78.20276282,81.90025755,55.06649497,21.21671609,19.54838775,17.04290711,215.1695153,57.51126816,0.383648456,0.014315965,30.53125732,5.073455214,0.363288286,0.010009475,0.253063258,0.015911925,phragmites
