Filename,ROI,Green_Index,plant,Major_Plant_1,Major_Plant_2,Minor_Plant_1,Minor_Plant_2
centermarsh_07_16_18_1200,1,0.445715151,mixed,scheonoplectus,,amaranthus,hibiscus
centermarsh_07_16_18_1200,2,0.45524902,mixed,scheonoplectus,,hibiscus,
centermarsh_07_18_17_1200,1,0.377092486,scheonoplectus,scheonoplectus,,phragmites,
centermarsh_07_18_18_1200,1,0.468196779,mixed,scheonoplectus,,amaranthus,hibiscus
centermarsh_07_24_18_1200,1,0.439202855,mixed,c4,iva,,
centermarsh_07_24_18_1200,2,0.396326005,mixed,iva,phragmites,,
centermarsh_07_26_17_1200,1,0.420870961,iva,iva,,,
centermarsh_08_01_17_1200,1,0.393996145,scheonoplectus,scheonoplectus,,,
centermarsh_08_02_18_1200,1,0.421601288,scheonoplectus,scheonoplectus,,,
centermarsh_08_03_18_1200,1,0.423754074,mixed,c4,scheonoplectus,hibiscus,typha
centermarsh_08_06_18_1200,1,0.42640657,mixed,c4,scheonoplectus,hibiscus,typha
centermarsh_08_07_18_1200,1,0.424223822,mixed,scheonoplectus,,,
centermarsh_08_07_18_1200,2,0.449845274,mixed,scheonoplectus,,amaranthus,typha
centermarsh_08_07_18_1200,3,0.365320636,scheonoplectus,scheonoplectus,,,
centermarsh_08_08_18_1200,1,0.420065197,mixed,scheonoplectus,,amaranthus,hibiscus
centermarsh_08_08_18_1200,2,0.443551967,mixed,scheonoplectus,,amaranthus,hibiscus
centermarsh_08_08_18_1200,3,0.450291229,mixed,scheonoplectus,,hibiscus,
centermarsh_08_13_18_1200,1,0.415791692,mixed,scheonoplectus,,amaranthus,hibiscus
centermarsh_08_13_18_1200,2,0.403636758,mixed,scheonoplectus,,amaranthus,
centermarsh_08_17_18_1200,1,0.402511315,mixed,scheonoplectus,,hibiscus,
centermarsh_08_17_18_1200,2,0.417500926,mixed,scheonoplectus,,hibiscus,
centermarsh_08_23_17_1200,1,0.397147867,scheonoplectus,scheonoplectus,,,
centermarsh_08_25_17_1200,1,0.39788106,scheonoplectus,scheonoplectus,,,
centermarsh_08_29_18_1200,1,0.384985803,mixed,scheonoplectus,,hibiscus,
centermarsh_08_29_18_1200,2,0.403739851,mixed,scheonoplectus,,hibiscus,
centermarsh_08_29_18_1200,3,0.401335856,mixed,scheonoplectus,,,
centermarsh_08_30_19_1200,1,0.391465208,mixed,scheonoplectus,,iva,
centermarsh_08_30_19_1200,2,0.40277999,mixed,scheonoplectus,,phragmites,
centermarsh_09_03_18_1200,1,0.394899352,scheonoplectus,scheonoplectus,,amaranthus,hibiscus
centermarsh_09_05_18_1200,1,0.398760407,scheonoplectus,scheonoplectus,,,
centermarsh_09_10_17_1200,1,0.359965615,scheonoplectus,scheonoplectus,,,
centermarsh_09_13_18_1200,1,0.36181499,scheonoplectus,scheonoplectus,,,
centermarsh_09_18_18_1200,1,0.359290198,scheonoplectus,scheonoplectus,,,
centermarsh_09_24_17_1200,1,0.34123287,scheonoplectus,scheonoplectus,,,
centermarsh_09_25_18_1200,1,0.372140171,scheonoplectus,scheonoplectus,,,
centermarsh_09_26_18_1200,1,0.36195773,scheonoplectus,scheonoplectus,,c4,
centermarsh_09_28_18_1200,1,0.36617786,scheonoplectus,scheonoplectus,,c4,hibiscus
centermarsh_10_03_17_1200,1,0.342458993,scheonoplectus,scheonoplectus,,c4,
centermarsh_10_03_18_1200,1,0.383676095,scheonoplectus,scheonoplectus,,c4,
centermarsh_10_09_17_1200,1,0.321882978,scheonoplectus,scheonoplectus,,,
centermarsh_10_09_17_1200,2,0.333936929,scheonoplectus,scheonoplectus,,,
centermarsh_10_12_17_1200,1,0.333947403,scheonoplectus,scheonoplectus,,,
centermarsh_10_13_17_1200,1,0.337607757,scheonoplectus,scheonoplectus,,,
centermarsh_10_13_17_1200,2,0.346687219,scheonoplectus,scheonoplectus,,,
centermarsh_10_20_17_1200,1,0.306628756,scheonoplectus,scheonoplectus,,,
centermarsh_10_22_18_1200,1,0.352710329,scheonoplectus,scheonoplectus,,,
centermarsh_10_23_18_1200,1,0.349565095,scheonoplectus,scheonoplectus,,,
centermarsh_10_25_17_1200,1,0.336856643,scheonoplectus,scheonoplectus,,,
centermarsh_10_25_17_1200,2,0.345293286,scheonoplectus,scheonoplectus,,,
centermarsh_10_27_17_1200,1,0.334180522,scheonoplectus,scheonoplectus,,,
centermarsh_10_27_17_1200,2,0.329162546,scheonoplectus,scheonoplectus,,,
centermarsh_10_28_18_1200,1,0.341154832,scheonoplectus,scheonoplectus,,,
centermarsh_10_29_18_1200,1,0.362563399,scheonoplectus,scheonoplectus,,,
centermarsh_10_29_18_1200,2,0.340667247,scheonoplectus,scheonoplectus,,,
centermarsh_10_30_17_1200,1,0.333503576,scheonoplectus,scheonoplectus,,,
centermarsh_11_01_17_1200,1,0.341166263,scheonoplectus,scheonoplectus,,,
centermarsh_11_01_17_1200,2,0.342520344,scheonoplectus,scheonoplectus,,,
centermarsh_11_01_17_1200,3,0.341219184,scheonoplectus,scheonoplectus,,,
centermarsh_11_01_17_1200,4,0.341729236,scheonoplectus,scheonoplectus,,,
centermarsh_11_07_18_1200,1,0.331541259,scheonoplectus,scheonoplectus,,,
centermarsh_11_09_17_1200,1,0.338484928,scheonoplectus,scheonoplectus,,,
centermarsh_11_09_17_1200,2,0.333558187,scheonoplectus,scheonoplectus,,,
centermarsh_11_13_17_1200,1,0.319669185,scheonoplectus,scheonoplectus,,,
centermarsh_11_13_17_1200,2,0.319963455,scheonoplectus,scheonoplectus,,,
centermarsh_11_15_18_1200,1,0.327307858,scheonoplectus,scheonoplectus,,,
centermarsh_11_16_17_1200,1,0.325364432,scheonoplectus,scheonoplectus,,,
centermarsh_11_18_18_1200,1,0.332732353,scheonoplectus,scheonoplectus,,,
centermarsh_11_19_18_1200,1,0.336989343,scheonoplectus,scheonoplectus,,,
centermarsh_11_19_18_1200,2,0.329901601,scheonoplectus,scheonoplectus,,,
centermarsh_11_23_18_1200,1,0.328854236,scheonoplectus,scheonoplectus,,,
centermarsh_11_23_18_1200,2,0.332480914,scheonoplectus,scheonoplectus,,,
centermarsh_12_22_17_1200,1,0.32822646,scheonoplectus,scheonoplectus,,,
centermarsh_12_22_17_1200,2,0.328597574,scheonoplectus,scheonoplectus,,,
centermarsh_12_24_18_1200,1,0.324387552,scheonoplectus,scheonoplectus,,,
centermarsh_12_27_17_1200,1,0.322041433,scheonoplectus,scheonoplectus,,,
centermarsh_12_28_18_1200,1,0.304823687,scheonoplectus,scheonoplectus,,,
centermarsh_12_28_18_1200,2,0.310132735,scheonoplectus,scheonoplectus,,,
centermarsh_12_31_17_1200,1,0.335691397,scheonoplectus,scheonoplectus,,,
centermarsh2_07_24_18_1200,1,0.399080082,mixed,scheonoplectus,,iva,
centerright_03_05_18_1200,1,0.32151515,scheonoplectus,scheonoplectus,,,
centerright_03_05_19_1200,1,0.3268069,scheonoplectus,scheonoplectus,,,
centerright_03_06_18_1200,1,0.330442636,scheonoplectus,scheonoplectus,,,
centerright_03_06_18_1200,2,0.330769198,scheonoplectus,scheonoplectus,,,
centerright_03_13_18_1200,1,0.334094763,scheonoplectus,scheonoplectus,,,
centerright_03_13_18_1200,2,0.329842133,scheonoplectus,scheonoplectus,,,
centerright_03_23_18_1200,1,0.324602228,scheonoplectus,scheonoplectus,,,
centerright_03_26_19_1200,1,0.324242981,scheonoplectus,scheonoplectus,,,
centerright_04_05_19_1200,1,0.33450252,scheonoplectus,scheonoplectus,,,
centerright_04_05_19_1200,2,0.334811935,scheonoplectus,scheonoplectus,,,
centerright_04_30_18_1200,1,0.328504082,scheonoplectus,scheonoplectus,,,
centerright_05_01_19_1200,1,0.34913737,scheonoplectus,c4,scheonoplectus,,
centerright_05_11_18_1200,1,0.351528654,scheonoplectus,c4,scheonoplectus,,
centerright_05_27_19_1200,1,0.426953777,scheonoplectus,scheonoplectus,,,
centerright_05_27_19_1200,2,0.427700945,scheonoplectus,scheonoplectus,,,
centerright_05_28_19_1200,1,0.4068238,scheonoplectus,scheonoplectus,,,
centerright_05_28_19_1200,2,0.411682,scheonoplectus,scheonoplectus,,,
centerright_06_08_18_1200,1,0.435806164,scheonoplectus,scheonoplectus,,,
centerright_06_08_18_1200,2,0.432011086,scheonoplectus,scheonoplectus,,,
centerright_06_08_18_1200,3,0.401354138,scheonoplectus,scheonoplectus,,,
centerright_06_12_18_1200,1,0.488813131,mixed,c4,iva,,
centerright_06_14_18_1200,1,0.401762893,scheonoplectus,scheonoplectus,,,
centerright_06_14_18_1200,2,0.408196422,scheonoplectus,scheonoplectus,,,
centerright_06_14_18_1200,3,0.397203644,scheonoplectus,scheonoplectus,,,
centerright_06_16_19_1200,1,0.4114608,scheonoplectus,scheonoplectus,,,
centerright_06_20_18_1200,1,0.465469441,scheonoplectus,scheonoplectus,,,
centerright_06_20_18_1200,2,0.4409681,mixed,scheonoplectus,,iva,
centerright_06_21_19_1200,1,0.4159364,scheonoplectus,scheonoplectus,,  ,
centerright_06_25_19_1200,1,0.4106251,scheonoplectus,scheonoplectus,,,
centerright_06_27_18_1200,1,0.412354443,mixed,iva,scheonoplectus,,
centerright_06_27_18_1200,2,0.435800543,scheonoplectus,scheonoplectus,,,
centerright_06_27_18_1200,3,0.456700655,mixed,c4,,,
centerright_06_27_18_1200,4,0.466049954,scheonoplectus,scheonoplectus,,,
centerright_06_27_19_1200,1,0.4180258,scheonoplectus,scheonoplectus,,,
centerright_06_27_19_1200,2,0.4110548,scheonoplectus,scheonoplectus,,,
centerright_07_09_18_1200,1,0.441112494,mixed,scheonoplectus,,c4,
centerright_07_15_17_1200,1,0.39203894,scheonoplectus,scheonoplectus,,,
centerright_07_15_17_1200,2,0.386423042,scheonoplectus,scheonoplectus,,,
centerright_07_24_18_1200,1,0.398963123,mixed,scheonoplectus,,hibiscus,
centerright_07_25_18_1200,1,0.371077722,scheonoplectus,scheonoplectus,,,
centerright_07_25_18_1200,2,0.387314186,scheonoplectus,scheonoplectus,,,
centerright_07_25_18_1200,3,0.365310973,scheonoplectus,scheonoplectus,,,
centerright_07_28_18_1200,1,0.431594432,scheonoplectus,scheonoplectus,,,
centerright_08_01_17_1200,1,0.35173351,scheonoplectus,scheonoplectus,,,
centerright_08_10_17_1200,1,0.36863261,scheonoplectus,scheonoplectus,,,
centerright_08_13_18_1200,1,0.410665905,scheonoplectus,scheonoplectus,,,
centerright_08_15_17_1200,1,0.412039556,scheonoplectus,scheonoplectus,,,
centerright_08_20_18_1200,1,0.370165055,scheonoplectus,scheonoplectus,,,
centerright_08_20_18_1200,2,0.426512182,scheonoplectus,scheonoplectus,,hibiscus,
centerright_08_26_17_1200,1,0.361121229,scheonoplectus,scheonoplectus,,,
centerright_08_28_17_1200,1,0.371113675,iva,iva,,,
centerright_08_28_17_1200,2,0.354334736,scheonoplectus,scheonoplectus,,,
centerright_09_06_17_1200,1,0.363554261,scheonoplectus,scheonoplectus,,,
centerright_09_10_18_1200,1,0.365051296,scheonoplectus,scheonoplectus,,,
centerright_09_11_17_1200,1,0.356658682,scheonoplectus,scheonoplectus,,,
centerright_09_14_18_1200,1,0.374082773,scheonoplectus,scheonoplectus,,,
centerright_09_21_17_1200,1,0.338967583,scheonoplectus,scheonoplectus,,,
centerright_09_21_17_1200,2,0.331858007,scheonoplectus,scheonoplectus,,,
centerright_09_21_18_1200,1,0.326813534,scheonoplectus,scheonoplectus,,,
centerright_09_22_17_1200,1,0.337945837,scheonoplectus,scheonoplectus,,,
centerright_10_02_18_1200,1,0.384745987,scheonoplectus,scheonoplectus,,,
centerright_10_08_17_1200,1,0.3289175,scheonoplectus,scheonoplectus,,,
centerright_10_16_17_1200,1,0.320768189,scheonoplectus,scheonoplectus,,,
centerright_10_18_17_1200,1,0.308455654,scheonoplectus,scheonoplectus,,,
centerright_10_19_18_1200,1,0.328626222,scheonoplectus,scheonoplectus,,,
centerright_10_24_18_1200,1,0.346324239,scheonoplectus,scheonoplectus,,,
centerright_11_04_18_1200,1,0.337505837,scheonoplectus,scheonoplectus,,,
centerright_11_04_18_1200,2,0.328417862,scheonoplectus,scheonoplectus,,,
centerright_11_08_18_1200,1,0.330453698,scheonoplectus,scheonoplectus,,,
centerright_11_08_18_1200,2,0.329263281,scheonoplectus,scheonoplectus,,,
centerright_11_09_17_1200,1,0.340160897,scheonoplectus,scheonoplectus,,,
centerright_11_09_17_1200,2,0.32956571,scheonoplectus,scheonoplectus,,,
centerright_11_15_17_1200,1,0.318241484,scheonoplectus,scheonoplectus,,,
centerright_11_21_18_1200,1,0.324682019,scheonoplectus,scheonoplectus,,,
centerright_11_22_17_1200,1,0.311860629,scheonoplectus,scheonoplectus,,,
centerright_11_24_17_1200,1,0.325150892,scheonoplectus,scheonoplectus,,,
centerright_11_24_17_1200,2,0.318330501,scheonoplectus,scheonoplectus,,,
centerright_12_24_18_1200,1,0.326998011,scheonoplectus,scheonoplectus,,,
centerright_12_24_18_1200,2,0.326192527,scheonoplectus,scheonoplectus,,,
centerright2_06_27_18_1200,1,0.425474794,scheonoplectus,scheonoplectus,,,
centerright2_06_27_18_1200,2,0.387825226,scheonoplectus,scheonoplectus,,,
centerright2_06_27_18_1200,3,0.37765502,scheonoplectus,scheonoplectus,,,
co2experiments_04_03_19_1200,1,0.33095331,scheonoplectus,scheonoplectus,,,
co2experiments_04_03_19_1200,2,0.327122373,scheonoplectus,scheonoplectus,,,
co2experiments_04_18_19_1200,1,0.3376586,scheonoplectus,scheonoplectus,,,
co2experiments_04_18_19_1200,2,0.33871,scheonoplectus,scheonoplectus,,,
co2experiments_04_30_19_1200,1,0.33657578,scheonoplectus,scheonoplectus,,,
co2experiments_04_30_19_1200,2,0.338887731,scheonoplectus,scheonoplectus,,,
co2experiments_05_03_18_1200,1,0.328580554,scheonoplectus,scheonoplectus,,,
co2experiments_06_11_19_1200,1,0.4172639,scheonoplectus,scheonoplectus,,,
co2experiments_06_13_18_1200,1,0.443223061,scheonoplectus,scheonoplectus,,,
co2experiments_06_27_18_1200,1,0.433767116,scheonoplectus,scheonoplectus,,,
co2experiments_07_20_17_1200,1,0.378913895,scheonoplectus,scheonoplectus,,,
co2experiments_07_20_17_1200,2,0.376955451,scheonoplectus,scheonoplectus,,,
co2experiments_07_23_18_1200,1,0.389288056,scheonoplectus,scheonoplectus,,,
co2experiments_07_24_17_1200,1,0.364370946,scheonoplectus,scheonoplectus,,,
co2experiments_07_24_17_1200,2,0.366833786,scheonoplectus,scheonoplectus,,,
co2experiments_07_25_17_1200,1,0.34775136,scheonoplectus,scheonoplectus,,,
co2experiments_07_25_17_1200,2,0.358757804,scheonoplectus,scheonoplectus,,,
co2experiments_07_30_18_1200,1,0.401906381,scheonoplectus,scheonoplectus,,,
co2experiments_08_02_18_1200,1,0.433961599,scheonoplectus,scheonoplectus,,,
co2experiments_08_02_18_1200,2,0.434029121,scheonoplectus,scheonoplectus,,,
co2experiments_09_07_17_1200,1,0.364787308,scheonoplectus,scheonoplectus,,,
co2experiments_10_15_18_1200,1,0.334558598,scheonoplectus,scheonoplectus,,,
co2experiments_10_15_18_1200,2,0.335970719,scheonoplectus,scheonoplectus,,,
co2experiments_11_17_17_1200,1,0.338038781,scheonoplectus,scheonoplectus,,,
