"","X.1","X","Filename","ROI","DOY","Red_Avg","Green_Avg","Blue_Avg","Red_SD","Green_SD","Blue_SD","Brightness_Avg","Brightness_SD","Green_Index","Green_Index_SD","Greenness_Excess_index","Greenness_Excess_index_SD","Red_index","Red_Index_SD","Blue_Index","Blue_Index_SD","plant","Date2","location1","location2","plant2","Major_Plant_1","Major_Plant_2","Minor_Plant_1","Minor_Plant_2"
"44",44,44,"centermarsh_11_01_17_1200",1,305,123.880122581421,105.239814926091,79.5868885951208,13.9062504553764,11.1370285696884,11.4531226980056,308.706826102632,34.3333907460692,0.341166263101804,0.00654434271671088,7.01261867563995,5.63545818222701,0.401651495506807,0.0179762152713272,0.257182241391388,0.0168037328579354,"c3","2017-11-01 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"45",45,45,"centermarsh_11_01_17_1200",2,305,95.6372984236275,84.0433049465483,65.9195959412937,15.9304388917337,15.5879481286556,15.7549241367496,245.600199311469,46.0699351971065,0.342520344210791,0.009210963298844,6.52971552817539,6.37957352782992,0.391396271070925,0.0205798195681763,0.266083384718284,0.0202798058593336,"c3","2017-11-01 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"46",46,46,"centermarsh_11_01_17_1200",3,305,57.1187595773853,51.3332930075006,41.8968061940479,20.2878976810163,18.6903722016868,16.6072787338081,150.348858778934,54.4113235365175,0.341219184073295,0.0161290570677243,3.65102024356803,6.29806974473057,0.380965897335597,0.0287401003450099,0.277814918591107,0.0349339766734315,"c3","2017-11-01 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"47",47,47,"centermarsh_11_01_17_1200",4,305,67.6125935400403,57.4316146958938,43.1215983769241,22.5345499261516,21.1235152640821,19.0716667534495,168.165806612858,61.7644075685821,0.341729235659561,0.0161590843166761,4.12903747482321,6.92764769583434,0.407724692001939,0.0306976498202864,0.2505460723385,0.0360404654588541,"c3","2017-11-01 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"48",48,48,"centermarsh_11_09_17_1200",1,313,143.350555466964,108.324589379684,68.3970924360814,21.0145415075967,19.7627730107369,18.3157670702892,320.07223728273,58.5356131843869,0.338484928446851,0.0049992997181901,4.90153085632276,4.43829356278287,0.451400092935453,0.0220321575203687,0.210114978617696,0.0227384440515821,"c3","2017-11-09 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"49",49,49,"centermarsh_11_09_17_1200",2,313,128.277617201269,94.5625308424392,60.3711667254142,19.8043832361794,18.2755989606514,15.7132936339542,283.211314769122,53.2147781943989,0.333558186751371,0.00511477953013732,0.476277758195277,4.07753182892543,0.456153990902074,0.0204334436254251,0.210287822346556,0.0199523460663373,"c3","2017-11-09 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"50",50,50,"centermarsh_11_13_17_1200",1,317,55.7246677740864,40.0692137320044,29.4093300110742,5.58522214265087,5.29429349016621,4.76030198959633,125.203211517165,15.2915896142265,0.319669184880411,0.00711262359799358,-4.99557032115172,2.38667728685458,0.446480839186943,0.0155183028291421,0.233849975932647,0.0131264249991747,"c3","2017-11-13 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"51",51,51,"centermarsh_11_13_17_1200",2,317,51.1594628619387,37.0963071758288,27.6000839278221,5.2130840361417,4.93195663239007,4.65839931180805,115.85585396559,14.6129495366408,0.31996345489323,0.00549891362636025,-4.56693243810323,1.73224154391738,0.443011326098364,0.0143627803109418,0.237025219008406,0.0122085092098443,"c3","2017-11-13 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"52",52,52,"centermarsh_11_16_17_1200",1,320,156.715818112366,115.052012441825,77.3711109551985,52.8897678867379,48.4493602409425,41.9770021948511,349.13894150939,141.97799420745,0.32536443217053,0.0193941058793435,-3.9829041839145,7.65077305848841,0.471629279854754,0.0700401017023111,0.203006287974716,0.0587612603292144,"c3","2017-11-16 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"53",53,53,"centermarsh_12_22_17_1200",1,356,98.0864684223165,73.759005042824,52.6303529976787,17.5100334129582,16.66409128514,15.8957246398742,224.475826462819,49.7160806833573,0.328226460328732,0.00459923932070541,-3.19881133434723,2.52714789425916,0.441839719841521,0.0258563468997103,0.229933819829747,0.0242781281407849,"c3","2017-12-22 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
